Wait,year,month,day,hour,minute,temp,precipitation
62,2002,6,6,9,0,26,1
1,2000,0,0,19,46,41,58
13,2000,1,0,13,13,39,7
81,2002,8,11,1,31,26,1
27,2001,3,1,10,24,18,3
14,2000,1,0,12,19,23,2
31,2001,3,2,11,30,47,3
47,2001,5,4,16,20,28,1
37,2001,4,2,22,29,24,1
87,2002,9,13,3,4,11,1
41,2001,4,3,11,44,16,2
28,2001,3,1,18,55,20,1
21,2001,2,1,3,25,48,1
52,2001,5,4,5,0,41,2
13,2000,1,0,2,3,10,1
64,2002,6,6,8,56,40,1
17,2000,2,1,16,51,17,1
14,2000,1,0,17,27,44,4
80,2002,8,11,15,50,39,1
9,2000,1,0,20,19,45,5
117,2003,12,23,5,48,42,0
55,2001,6,6,6,54,42,1
103,2003,10,17,7,7,41,1
74,2002,7,9,5,48,16,1
52,2001,5,4,19,43,38,2
110,2003,11,20,18,43,49,0
52,2001,5,4,16,53,28,2
72,2002,7,8,5,56,47,1
21,2001,2,1,10,13,46,3
32,2001,3,2,23,7,35,0
80,2002,8,11,6,45,21,0
20,2001,2,1,12,19,24,0
7,2000,1,0,0,39,20,3
80,2002,8,11,3,20,22,1
33,2001,3,2,22,3,10,1
21,2001,2,1,1,45,40,4
47,2001,5,4,6,29,50,0
47,2001,5,4,19,18,11,0
55,2001,6,6,21,53,30,0
35,2001,4,2,6,46,14,2
101,2003,10,17,0,56,20,0
92,2002,9,14,4,53,20,0
101,2003,10,17,5,18,10,1
69,2002,7,8,3,29,32,1
9,2000,1,0,19,26,38,8
86,2002,9,13,9,36,26,1
92,2002,9,14,22,16,48,1
15,2000,2,1,2,22,23,6
96,2002,10,16,11,42,23,0
49,2001,5,4,10,45,36,2
10,2000,1,0,20,56,12,3
29,2001,3,1,15,51,17,1
10,2000,1,0,12,58,35,1
80,2002,8,11,11,19,42,1
84,2002,8,11,15,16,24,0
44,2001,4,3,9,1,11,1
113,2003,11,21,4,51,41,0
7,2000,1,0,1,56,42,8
92,2002,9,14,10,34,12,1
86,2002,9,13,15,29,13,0
28,2001,3,1,0,1,34,3
111,2003,11,20,11,44,13,0
72,2002,7,8,1,24,25,1
119,2003,12,24,22,19,44,1
14,2000,1,0,5,13,33,2
62,2002,6,6,14,55,16,1
63,2002,6,6,15,52,48,0
74,2002,7,9,4,21,28,1
100,2003,10,17,4,57,33,0
40,2001,4,3,8,20,31,1
101,2003,10,17,23,5,49,0
2,2000,0,0,1,56,16,6
33,2001,3,2,15,36,46,3
115,2003,12,23,16,51,20,0
59,2001,6,6,21,1,49,0
47,2001,5,4,15,55,38,0
4,2000,0,0,8,17,18,24
83,2002,8,11,20,47,40,0
12,2000,1,0,8,8,44,8
60,2002,6,6,2,37,32,1
11,2000,1,0,23,41,20,1
15,2000,2,1,10,13,34,1
64,2002,6,6,0,8,29,1
55,2001,6,6,13,5,23,1
119,2003,12,24,3,14,26,0
35,2001,4,2,23,47,16,0
13,2000,1,0,15,52,50,4
63,2002,6,6,7,8,21,0
98,2002,10,16,8,20,28,1
14,2000,1,0,3,21,25,1
54,2001,5,5,23,25,29,1
22,2001,2,1,8,27,21,3
79,2002,8,11,22,0,47,1
3,2000,0,0,19,32,23,11
31,2001,3,2,5,24,21,2
82,2002,8,11,23,37,28,1
65,2002,7,8,23,41,30,1
59,2001,6,6,19,54,43,1
89,2002,9,13,8,33,36,1
28,2001,3,1,6,42,37,1
114,2003,11,21,0,48,43,0
41,2001,4,3,2,25,49,1
13,2000,1,0,2,41,28,1
1,2000,0,0,22,12,36,70
16,2000,2,1,21,39,11,5
119,2003,12,24,2,5,15,1
118,2003,12,24,12,46,36,1
80,2002,8,11,6,19,21,1
61,2002,6,6,21,8,26,1
111,2003,11,20,11,7,39,0
37,2001,4,2,20,58,21,1
74,2002,7,9,2,22,32,1
110,2003,11,20,12,2,26,0
85,2002,9,13,17,54,40,1
78,2002,8,10,22,25,46,0
110,2003,11,20,18,2,22,0
97,2002,10,16,4,50,44,1
71,2002,7,8,17,38,27,1
75,2002,8,10,22,54,42,1
18,2000,2,1,3,57,24,1
68,2002,7,8,19,3,31,1
27,2001,3,1,15,16,34,4
41,2001,4,3,16,55,37,1
45,2001,5,4,4,56,38,0
18,2000,2,1,0,32,50,4
111,2003,11,20,12,33,29,1
28,2001,3,1,11,35,23,2
55,2001,6,6,5,16,27,2
58,2001,6,6,17,58,24,1
37,2001,4,2,21,6,28,3
22,2001,2,1,14,58,39,3
88,2002,9,13,12,48,35,1
99,2002,10,17,22,45,16,1
118,2003,12,24,11,12,19,1
103,2003,10,17,10,1,19,0
97,2002,10,16,11,0,21,1
13,2000,1,0,13,12,21,1
10,2000,1,0,0,23,37,9
95,2002,10,16,20,4,45,1
110,2003,11,20,0,38,36,0
67,2002,7,8,17,23,46,1
79,2002,8,11,12,30,42,1
119,2003,12,24,17,34,14,1
52,2001,5,4,6,33,29,1
77,2002,8,10,3,10,18,0
74,2002,7,9,12,38,11,0
118,2003,12,24,13,52,17,1
76,2002,8,10,10,1,37,1
59,2001,6,6,22,16,13,1
32,2001,3,2,5,31,37,3
50,2001,5,4,19,12,33,1
49,2001,5,4,17,36,38,2
49,2001,5,4,14,43,27,1
95,2002,10,16,17,42,28,1
12,2000,1,0,9,0,31,7
17,2000,2,1,15,30,26,1
85,2002,9,13,21,27,20,1
97,2002,10,16,21,2,40,1
56,2001,6,6,11,12,50,0
17,2000,2,1,21,23,14,4
105,2003,11,19,19,53,14,0
63,2002,6,6,13,29,16,1
33,2001,3,2,19,47,27,1
62,2002,6,6,22,54,23,1
22,2001,2,1,22,31,35,1
67,2002,7,8,0,4,16,1
62,2002,6,6,6,46,26,1
52,2001,5,4,20,30,33,1
54,2001,5,5,20,10,11,1
95,2002,10,16,10,15,16,0
100,2003,10,17,18,49,29,1
93,2002,9,14,0,25,31,0
46,2001,5,4,1,19,20,2
94,2002,9,14,12,55,49,0
20,2001,2,1,8,35,26,4
46,2001,5,4,10,30,15,0
97,2002,10,16,14,9,31,1
26,2001,3,1,16,1,12,2
68,2002,7,8,13,6,29,0
116,2003,12,23,12,42,38,0
100,2003,10,17,8,4,44,0
99,2002,10,17,6,56,25,1
7,2000,1,0,12,55,15,14
93,2002,9,14,0,40,39,0
38,2001,4,3,22,0,37,1
40,2001,4,3,11,40,10,1
51,2001,5,4,7,25,30,2
99,2002,10,17,19,52,45,1
37,2001,4,2,2,56,23,1
120,2003,12,24,5,41,42,0
109,2003,11,20,19,36,34,0
25,2001,3,1,0,26,37,2
65,2002,7,8,0,41,24,0
25,2001,3,1,6,55,17,3
17,2000,2,1,21,50,38,3
3,2000,0,0,18,26,21,15
110,2003,11,20,13,59,24,0
70,2002,7,8,5,15,23,1
28,2001,3,1,10,14,26,0
